step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
140.0,48,385.0,1.5909090909090908,7.284269566079165,1,30.0,0.5288397607589523,4,48.0,0.3423629391529623,3,50.0,0.6247372349027709,2,13.0,0.13959107483926594,12,168.0,0.2801956733521977,0,6.0,0.2660049302224355,0,4.0,0.618816886031699,5,74.0,0.5148429744601857,1,5.0,0.7769184458972159,1,5.0,0.4612743685163035,3,17.0,0.31655603090555573,13,113.0,0.09748668313860337,0,4.0,0.9330468255637822,0,4.0,0.8735858051932226,2,58.0,0.38748695360142865,1,10.0,0.7909361267909293,48,609.0
145.0,65,623.0,2.492,7.4571909933462175,3,8.0,0.6069374376546733,6,78.0,0.5578941774428321,4,66.0,0.2972221434114123,0,12.0,0.6506523037068249,14,239.0,0.16495167494588622,0,4.0,0.8930951905234719,2,6.0,0.36130343462157066,8,108.0,0.0803792949457038,3,12.0,0.6203868064948485,1,10.0,0.728864142205515,4,18.0,0.3849604828846891,17,188.0,0.23036678374344097,0,0.0,0.7753516064940758,0,0.0,0.7763794851612212,2,44.0,0.5351386938526996,1,10.0,0.8023610408135426,65,803.0
150.0,67,683.0,2.732,6.709461909591222,3,12.0,0.5098098611047832,0,63.0,0.5855971717742087,10,102.0,0.3563484864666046,0,4.0,0.9028038975416209,10,237.0,0.24474636109632042,0,6.0,0.8539917810528332,3,14.0,0.22977291380395462,9,155.0,0.3165048714416733,0,11.0,0.4813797518421297,0,4.0,0.7572418952222726,2,24.0,0.31519009048737945,17,277.0,0.2669544230805643,0,0.0,1.0,2,9.0,0.16822306711591206,8,71.0,0.44701385729907167,3,17.0,0.21443229347325657,67,1006.0
155.0,70,739.0,3.0411522633744856,6.905813623943692,6,31.0,0.4784744739021543,2,11.0,0.48963650482748045,4,89.0,0.3967012877486297,0,2.0,0.8278040965054717,2,161.0,0.4434983766821481,1,10.0,0.7158853598470696,6,26.0,0.003547547612875722,10,205.0,0.5119715346276604,0,4.0,0.8350520441172236,2,4.0,0.5892774401941877,6,36.0,0.5387973124041325,17,358.0,0.2739855155993795,0,4.0,0.8142947027400379,1,15.0,0.5345770984484114,11,115.0,0.3011250863273463,2,15.0,0.4411628306453996,70,1086.0
160.0,58,845.0,3.393574297188755,6.361308076080547,3,35.0,0.48689644726454195,3,14.0,0.39895113959752576,4,44.0,0.46292281277712194,0,4.0,0.5391323481039054,2,143.0,0.5024257660127724,0,6.0,0.46961183369570625,2,35.0,0.10122045266588113,10,253.0,0.41481850223501443,2,9.0,0.7374707879918269,0,2.0,0.40927336996534874,0,34.0,0.5994797231847842,18,448.0,0.1110318493861367,0,2.0,0.9123563697097302,0,6.0,0.8404452110560744,14,180.0,0.19193042546781464,0,3.0,0.855774230147813,58,1218.0
165.0,75,851.0,3.311284046692607,6.7259859999999545,2,17.0,0.5447686733985504,5,35.0,0.6029090055494037,2,44.0,0.5047733613385773,4,21.0,0.6096462092980548,8,168.0,0.3298806292054637,2,8.0,0.4293487975744602,0,13.0,0.4678354532789526,16,320.0,0.10582464562699925,3,19.0,0.5264166414542738,3,11.0,0.5976002926310837,2,11.0,0.47044830499450674,18,464.0,0.20383584208818917,0,4.0,0.6629811798001569,1,3.0,0.3301733082294269,9,183.0,0.35204329354884045,0,4.0,0.763951276227903,75,1325.0
170.0,62,427.0,1.599250936329588,7.113474967626948,2,11.0,0.5017742240110985,0,29.0,0.6312841466873155,5,47.0,0.4378593781525696,2,20.0,0.5783392207016144,15,229.0,0.18950599521830486,7,29.0,0.4183153032111178,2,20.0,0.6748743332528784,12,308.0,0.06713481558269269,2,18.0,0.4241950886039494,1,9.0,0.6498029254453285,4,27.0,0.41453604275577166,9,391.0,0.3284831780279481,0,6.0,0.7971808701573756,1,12.0,0.30462113682630315,0,103.0,0.606748253647838,0,4.0,0.8182528307318414,62,1263.0
175.0,54,370.0,1.4015151515151516,7.352009530334801,5,26.0,0.5108180131137574,2,9.0,0.47050581059205715,9,82.0,0.2999248074354342,6,26.0,0.32074913055058935,17,311.0,0.18301837167586338,1,30.0,0.41477765369171826,2,34.0,0.6254357704096469,3,165.0,0.3523031063191841,2,18.0,0.6995269079946593,2,10.0,0.6115232631660246,0,18.0,0.7022210782392536,3,384.0,0.2533820673211885,0,8.0,0.8943019814639328,0,4.0,0.927083411676402,2,84.0,0.5272742494580437,0,4.0,0.8093567963618004,54,1213.0
180.0,61,472.0,1.8365758754863812,6.692311196265521,2,32.0,0.4439069797011902,2,12.0,0.4222921466584167,11,135.0,0.2565660217294703,1,28.0,0.08417495433800516,19,404.0,0.2797484227541549,4,15.0,0.11697204035607488,0,8.0,0.6520954051624475,4,162.0,0.44796843988663526,2,7.0,0.6794896845412821,1,9.0,0.4124626889013321,0,4.0,0.8726083154653093,8,416.0,0.277969305682859,0,4.0,0.8975133369301586,0,4.0,0.8974750258558358,7,108.0,0.2837994006494496,0,0.0,0.8717387765308806,61,1348.0
185.0,77,671.0,2.5416666666666665,6.871502247396334,3,21.0,0.5785998846868949,4,23.0,0.6244268679317335,6,128.0,0.4540185528255152,4,24.0,0.34603928878202794,21,507.0,0.3184867365475991,0,12.0,0.17945253495235552,0,4.0,0.7986485295169405,9,193.0,0.14210560900719965,4,20.0,0.5347399406081748,2,15.0,0.6810678217613106,2,7.0,0.496035772411335,9,382.0,0.2676225864423171,0,2.0,0.524380683687772,0,0.0,0.749992169443936,13,160.0,0.19701400648344483,0,0.0,0.7881607827632847,77,1498.0
